State,County,FIPS_code,count,avg_site_score,sum_site_score
VA,Loudoun,51107.0,1.0,50.0,50.0
VA,Norfolk city,51710.0,1.0,50.0,50.0
VA,Prince William,51153.0,1.0,50.0,50.0
VA,Virginia Beach city,51810.0,1.0,50.0,50.0
WA,Clallam,53009.0,1.0,50.0,50.0
WA,Grant,53025.0,1.0,50.0,50.0
WA,Stevens,53065.0,1.0,50.0,50.0
WA,Thurston,53067.0,1.0,50.0,50.0
WI,Ashland,55003.0,1.0,50.0,50.0
WI,Burnett,55013.0,1.0,50.0,50.0
WV,Jackson,54035.0,1.0,50.0,50.0
WV,Mineral,54057.0,1.0,50.0,50.0
WV,Wood,54107.0,1.0,50.0,50.0
MD,Frederick,24021.0,1.0,49.52,49.52
CT,Tolland,9013.0,1.0,49.1,49.1
TX,Gregg,48183.0,1.0,49.1,49.1
NC,Cleveland,37045.0,1.0,48.98,48.98
IL,Jo Daviess,17085.0,1.0,48.97,48.97
WI,Calumet,55015.0,1.0,48.92,48.92
WI,Brown,55009.0,1.0,48.91,48.91
IL,Clark,17023.0,1.0,48.78,48.78
CA,San Francisco,6075.0,1.0,48.77,48.77
DC,District of Columbia,11001.0,1.0,48.57,48.57
MS,Forrest,28035.0,1.0,48.57,48.57
MI,Antrim,26009.0,1.0,48.55,48.55
CO,Arapahoe,8005.0,1.0,48.36,48.36
NY,Fulton,36035.0,1.0,48.36,48.36
LA,Terrebonne Parish,22109.0,1.0,48.05,48.05
CO,Mineral,8079.0,1.0,48.03,48.03
MS,Madison,28089.0,1.0,48.03,48.03
NC,Columbus,37047.0,1.0,48.03,48.03
OH,Marion,39101.0,1.0,48.03,48.03
TN,Roane,47145.0,1.0,48.03,48.03
WV,Harrison,54033.0,1.0,48.03,48.03
NC,Yadkin,37197.0,1.0,48.0,48.0
TX,Kaufman,48257.0,1.0,48.0,48.0
TX,Tom Green,48451.0,1.0,48.0,48.0
TN,Hardeman,47069.0,1.0,47.71,47.71
FL,Washington,12133.0,1.0,47.7,47.7
NY,Franklin,36033.0,1.0,47.7,47.7
SC,Aiken,45003.0,1.0,47.7,47.7
WA,Island,53029.0,1.0,47.58,47.58
CO,Eagle,8037.0,1.0,47.19,47.19
OH,Columbiana,39029.0,1.0,47.19,47.19
NC,Richmond,37153.0,1.0,47.1,47.1
WI,Ozaukee,55089.0,1.0,46.86,46.86
MN,Crow Wing,27035.0,1.0,46.77,46.77
MI,Houghton,26061.0,1.0,46.72,46.72
NC,Rowan,37159.0,1.0,46.51,46.51
TX,Runnels,48399.0,1.0,46.5,46.5
OH,Monroe,39111.0,1.0,46.44,46.44
PA,Montour,42093.0,1.0,46.44,46.44
TN,Lawrence,47099.0,1.0,46.44,46.44
OH,Clark,39023.0,1.0,46.4,46.4
PA,Lebanon,42075.0,1.0,46.25,46.25
IA,Dubuque,19061.0,1.0,46.24,46.24
MO,Jasper,29097.0,1.0,46.2,46.2
OK,Caddo,40015.0,1.0,46.01,46.01
MA,Barnstable,25001.0,1.0,45.92,45.92
MN,Dakota,27037.0,1.0,45.91,45.91
VA,Culpeper,51047.0,1.0,45.91,45.91
AR,Polk,5113.0,1.0,45.87,45.87
MT,Yellowstone,30111.0,1.0,45.69,45.69
UT,Weber,49057.0,1.0,45.1,45.1
PA,Centre,42027.0,1.0,45.09,45.09
CT,Hartford,9003.0,1.0,44.93,44.93
KY,Hardin,21093.0,1.0,44.77,44.77
CA,Mendocino,6045.0,1.0,44.73,44.73
NY,Rockland,36087.0,1.0,44.73,44.73
NY,Albany,36001.0,1.0,44.58,44.58
AL,Montgomery,1101.0,1.0,44.46,44.46
WA,Franklin,53021.0,1.0,44.46,44.46
CA,Lake,6033.0,1.0,44.42,44.42
FL,Lake,12069.0,1.0,44.03,44.03
KY,Ohio,21183.0,1.0,43.84,43.84
MO,Lawrence,29109.0,1.0,43.78,43.78
MT,Missoula,30063.0,1.0,43.78,43.78
IL,Williamson,17199.0,1.0,43.7,43.7
CO,Montrose,8085.0,1.0,43.53,43.53
AL,Jefferson,1073.0,1.0,42.86,42.86
IL,Kane,17089.0,1.0,42.76,42.76
MI,Emmet,26047.0,1.0,42.68,42.68
MN,Blue Earth,27013.0,1.0,42.49,42.49
IN,Allen,18003.0,1.0,42.47,42.47
WI,La Crosse,55063.0,1.0,42.47,42.47
TX,Hockley,48219.0,1.0,42.41,42.41
WI,Eau Claire,55035.0,1.0,42.39,42.39
IN,Whitley,18183.0,1.0,42.33,42.33
GA,Peach,13225.0,1.0,42.24,42.24
IA,Linn,19113.0,1.0,42.24,42.24
IN,Tippecanoe,18157.0,1.0,42.24,42.24
MI,St. Joseph,26149.0,1.0,42.24,42.24
OK,Oklahoma,40109.0,1.0,42.24,42.24
PA,Lycoming,42081.0,1.0,42.24,42.24
PR,Vega Alta Municipio,72143.0,1.0,42.24,42.24
IL,Carroll,17015.0,1.0,42.2,42.2
IL,Kankakee,17091.0,1.0,42.04,42.04
PR,Barceloneta Municipio,72017.0,1.0,41.92,41.92
VT,Windham,50025.0,1.0,41.92,41.92
LA,East Baton Rouge Parish,22033.0,1.0,41.44,41.44
